Project_ID,project_name,category,department,contractor,ward_id,start_date,end_date,budget_sanctioned,budget_released,budget_used,status
PRJ00065,Smart Classroom Setup - Phase 1 (Tilak Nagar) [065],Education,Municipal Corp,Green Contracting LLP,W16,06-07-2025,25-03-2026,13995290,9587270,5722931,Pending
PRJ00066,Footpath Repair - Phase 2 (Tagore Garden) [066],Infrastructure,PWD,Metro Builders Group,W08,09-03-2025,03-07-2025,14772384,11454372,7784740,Running
PRJ00067,Clinic Upgrade - Phase 1 (Gandhi Colony) [067],Healthcare,Municipal Corp,Shree Projects Pvt Ltd,W02,12-10-2025,24-03-2026,2898880,2108500,2000461,Completed
PRJ00068,Police Post Construction - Phase 2 (Indira Chowk) [068],Police,PWD,Metro Contracting LLP,W11,19-04-2024,22-05-2024,18160279,13765351,10237108,Running
PRJ00069,Community Prayer Hall Repair - Phase 3 (Gandhi Colony) [069],Religious,Municipal Corp,Sai Contracting LLP,W02,25-05-2024,29-08-2024,1421666,1121813,1086895,Completed
PRJ00070,Storm Drain Repair - Phase 3 (Tilak Nagar) [070],Infrastructure,PWD,Shree Contracting Co.,W16,01-12-2025,14-04-2026,5997328,3650236,2297910,Running
PRJ00071,Walking Track - Phase 1 (Seemapuri) [071],Sports,Sports Authority,Sai Builders Pvt Ltd,W23,19-03-2024,15-03-2025,6077983,3686238,2493290,Pending
PRJ00072,Road Resurfacing - Phase 2 (Azad Market) [072],Infrastructure,PWD,Om Engineers & Sons,W05,04-03-2025,13-12-2025,18683523,12324545,10602407,Running
PRJ00073,Footpath Repair - Phase 2 (Gandhi Colony) [073],Infrastructure,PWD,Urban Builders & Sons,W02,30-03-2024,03-01-2025,10660373,8166127,7906737,Completed
PRJ00074,Community Sports Tournament - Phase 3 (Ambedkar Nagar) [074],Sports,Municipal Corp,National Constructions Group,W12,29-11-2024,09-05-2025,18317653,11350652,8858220,Running
PRJ00075,Toilet Block Construction - Phase 1 (Saraswati Park) [075],Education,Municipal Corp,Om Projects Co.,W06,23-08-2025,28-04-2026,10315828,6610498,6025850,Completed
PRJ00076,Bus Stop Shelter - Phase 1 (Tilak Nagar) [076],Infrastructure,Municipal Corp,Sai Developers Co.,W16,01-03-2025,16-05-2025,8318100,4993182,4342531,Completed
PRJ00077,Playground Development - Phase 3 (Mayur Vihar) [077],Sports,Municipal Corp,National Works Co.,W25,29-05-2024,29-08-2024,9894965,7718109,6687260,Running
PRJ00078,Toilet Block Construction - Phase 1 (Jai Hind Puram) [078],Education,Municipal Corp,Sai Works Group,W17,14-05-2024,04-01-2025,1271213,906871,503727,Pending
PRJ00079,Street Patrol Support - Phase 3 (Kalyanpuri) [079],Police,Police Dept,Royal Enterprises Pvt Ltd,W22,23-01-2025,10-07-2025,1496871,1146103,1009210,Completed
PRJ00080,Community Sports Tournament - Phase 2 (Azad Market) [080],Sports,Sports Authority,Green Contracting Group,W05,13-03-2024,24-02-2025,13561756,12445537,11770604,Completed
PRJ00081,Street Patrol Support - Phase 2 (Saraswati Park) [081],Police,Police Dept,Green Works Pvt Ltd,W06,15-10-2025,23-03-2026,2729243,2376985,1476776,Running
PRJ00082,Police Post Construction - Phase 2 (Subhash Nagar) [082],Police,PWD,Green Works Group,W13,12-07-2024,05-09-2025,19880963,12195381,10510202,Running
PRJ00083,Footpath Repair - Phase 2 (Sadar Bazaar) [083],Infrastructure,PWD,Om Works Pvt Ltd,W18,06-06-2025,04-06-2026,11511870,7337008,4381924,Pending
PRJ00084,Street Patrol Support - Phase 3 (Ashok Nagar) [084],Police,PWD,Urban Constructions & Sons,W09,11-09-2024,28-02-2025,14524933,12787457,10942742,Running
PRJ00085,Street Patrol Support - Phase 3 (Tagore Garden) [085],Police,Police Dept,Shree Developers Group,W08,28-12-2024,14-01-2026,8354212,5370531,2752785,Pending
PRJ00086,Road Resurfacing - Phase 1 (Indira Chowk) [086],Infrastructure,PWD,Om Engineers Pvt Ltd,W11,22-07-2025,24-07-2026,9329254,8605107,5040868,Pending
PRJ00087,Open Gym Setup - Phase 2 (Sadar Bazaar) [087],Sports,Municipal Corp,Urban Constructions Group,W18,02-07-2025,11-07-2026,15635186,12684465,11056014,Running
PRJ00088,Toilet Block Construction - Phase 3 (Tilak Nagar) [088],Education,Education Dept,Royal Developers & Sons,W16,17-02-2025,22-05-2025,14105514,14085297,13881797,Completed
PRJ00089,Open Gym Setup - Phase 2 (Model Town) [089],Sports,Municipal Corp,Prime Builders LLP,W20,30-11-2025,14-12-2026,14374392,13347419,10211507,Running
PRJ00090,Desilting Drive - Phase 2 (Ambedkar Nagar) [090],Infrastructure,Municipal Corp,Shree Contracting LLP,W12,31-12-2025,11-11-2026,1062233,1010759,687559,Pending
PRJ00091,Library Upgrade - Phase 2 (Vivek Vihar) [091],Education,Municipal Corp,Sai Infra Pvt Ltd,W07,10-02-2025,11-10-2025,19122698,14003153,9163372,Pending
PRJ00092,Primary Health Centre Renovation - Phase 1 (Mayur Vihar) [092],Healthcare,Health Dept,Prime Constructions & Sons,W25,29-02-2024,19-07-2024,2837343,2509625,2484804,Completed
PRJ00093,Gurudwara Renovation - Phase 3 (Azad Market) [093],Religious,Municipal Corp,Om Engineers & Sons,W05,12-03-2024,20-07-2024,12732105,12051456,9331169,Running
PRJ00094,Primary Health Centre Renovation - Phase 2 (Anand Vihar) [094],Healthcare,Health Dept,Green Works Pvt Ltd,W24,28-04-2024,20-10-2024,8984429,7413258,6354890,Completed
PRJ00095,Storm Drain Repair - Phase 2 (Anand Vihar) [095],Infrastructure,PWD,Maa Projects Co.,W24,07-08-2025,02-07-2026,13286418,9230547,9187057,Completed
PRJ00096,Road Resurfacing - Phase 3 (Azad Market) [096],Infrastructure,PWD,Shree Builders LLP,W05,02-07-2025,26-04-2026,8828567,7541725,7469962,Completed
PRJ00097,Smart Classroom Setup - Phase 1 (Shastri Nagar) [097],Education,Education Dept,Om Works & Sons,W01,31-12-2025,20-03-2026,6678847,4887552,2667277,Pending
PRJ00098,Toilet Block Construction - Phase 3 (Lajpat Enclave) [098],Education,Education Dept,Sai Enterprises Pvt Ltd,W04,03-04-2024,22-01-2025,10966456,9125359,8756963,Completed
PRJ00099,Health Camp Program - Phase 3 (Lajpat Enclave) [099],Healthcare,Municipal Corp,Royal Contracting & Sons,W04,02-01-2025,02-10-2025,2866670,1941320,1147583,Pending
PRJ00100,Open Gym Setup - Phase 2 (Azad Market) [100],Sports,Municipal Corp,Metro Constructions Pvt Ltd,W05,21-04-2025,11-04-2026,4957047,4869801,4289194,Completed
PRJ00101,Open Gym Setup - Phase 1 (Anand Vihar) [101],Sports,Sports Authority,Urban Projects LLP,W24,27-12-2024,02-07-2025,9109458,7936530,6986910,Completed
PRJ00102,Drain Cleaning Near Market - Phase 2 (Rajendra Nagar) [102],Market,PWD,Royal Infra Group,W10,01-05-2025,21-07-2025,1121582,771712,661585,Running
PRJ00103,Desilting Drive - Phase 2 (Ambedkar Nagar) [103],Infrastructure,PWD,Green Builders LLP,W12,24-01-2024,12-03-2025,15439470,13666483,12357315,Completed
PRJ00104,Footpath Repair - Phase 3 (Ashok Nagar) [104],Infrastructure,PWD,Urban Projects LLP,W09,16-11-2025,05-01-2027,16149125,13980030,13106551,Completed
PRJ00105,Community Centre Upgrade - Phase 1 (Kalyanpuri) [105],Welfare,Municipal Corp,Green Projects & Sons,W22,06-12-2024,23-04-2025,18241018,18211664,16449285,Completed
PRJ00106,Skill Training Centre - Phase 1 (Mayur Vihar) [106],Welfare,Municipal Corp,Green Constructions Group,W25,04-10-2024,09-07-2025,12594417,8539318,7425770,Completed
PRJ00107,Primary Health Centre Renovation - Phase 2 (Civil Lines) [107],Healthcare,Health Dept,Urban Contracting Co.,W21,08-08-2025,09-06-2026,11216512,8307917,7803474,Completed
PRJ00108,Gurudwara Renovation - Phase 2 (Lajpat Enclave) [108],Religious,Municipal Corp,Shree Projects Co.,W04,28-03-2025,10-03-2026,10466693,6682921,6393267,Completed
PRJ00109,Smart Classroom Setup - Phase 1 (Subhash Nagar) [109],Education,Education Dept,Metro Constructions LLP,W13,02-04-2025,05-07-2025,4139222,3581934,1931486,Pending
PRJ00110,Fogging Drive - Phase 1 (Ambedkar Nagar) [110],Healthcare,Municipal Corp,National Builders Group,W12,25-10-2025,07-12-2025,6767616,4355006,2949422,Running
PRJ00111,Community Centre Upgrade - Phase 3 (Seemapuri) [111],Welfare,Municipal Corp,Royal Developers Group,W23,08-02-2025,13-03-2025,8280044,7101757,6867356,Completed
PRJ00112,Road Resurfacing - Phase 3 (Civil Lines) [112],Infrastructure,PWD,Maa Projects Co.,W21,14-08-2025,30-10-2025,2042646,1279498,1139666,Completed
PRJ00113,Road Resurfacing - Phase 2 (Jai Hind Puram) [113],Infrastructure,Municipal Corp,Royal Builders LLP,W17,02-09-2025,22-01-2026,15095848,13648395,10401095,Running
PRJ00114,Skill Training Centre - Phase 3 (Nehru Vihar) [114],Welfare,Municipal Corp,Sai Works Co.,W03,15-09-2025,14-07-2026,2318709,2107857,2094710,Completed
PRJ00115,Police Post Construction - Phase 1 (Tagore Garden) [115],Police,Police Dept,Royal Infra LLP,W08,03-05-2024,15-02-2025,7610705,6651495,4314047,Running
PRJ00116,Bus Stop Shelter - Phase 1 (Ashok Nagar) [116],Infrastructure,PWD,Prime Contracting Co.,W09,12-05-2024,24-06-2025,15872456,11168339,7585753,Running
PRJ00117,Street Patrol Support - Phase 2 (Vivek Vihar) [117],Police,Police Dept,Sai Engineers Group,W07,21-06-2024,22-03-2025,14789558,13877067,13073198,Completed
PRJ00118,Health Camp Program - Phase 1 (Tagore Garden) [118],Healthcare,Health Dept,Metro Works Pvt Ltd,W08,10-08-2024,09-02-2025,5584506,5338545,4831181,Completed
PRJ00119,Storm Drain Repair - Phase 3 (Green Park) [119],Infrastructure,Municipal Corp,Shree Works Co.,W19,04-07-2024,20-05-2025,1556533,1072461,1029941,Completed
PRJ00120,CCTV Installation - Phase 1 (Tagore Garden) [120],Police,PWD,Sai Projects Pvt Ltd,W08,06-05-2024,10-06-2024,1366242,1044288,741357,Running
PRJ00121,Bus Stop Shelter - Phase 3 (Ashok Nagar) [121],Infrastructure,PWD,Shree Projects & Sons,W09,28-04-2025,03-01-2026,1519493,1013645,571802,Pending
PRJ00122,Storm Drain Repair - Phase 3 (Mayur Vihar) [122],Infrastructure,PWD,Metro Infra Group,W25,20-09-2024,29-12-2024,5335069,5159937,4599560,Running
PRJ00123,Women Help Desk Setup - Phase 3 (Lajpat Enclave) [123],Police,Police Dept,Urban Works & Sons,W04,06-01-2024,21-05-2024,6084737,4336179,2696609,Running
PRJ00124,Street Light Upgrade - Phase 2 (Rajendra Nagar) [124],Infrastructure,PWD,Shree Works Pvt Ltd,W10,25-09-2024,06-03-2025,8955119,5588187,4968339,Running
PRJ00125,Road Resurfacing - Phase 3 (Lajpat Enclave) [125],Infrastructure,PWD,Prime Constructions Pvt Ltd,W04,27-10-2024,17-02-2025,2100644,1666370,1130242,Pending
PRJ00126,Skill Training Centre - Phase 3 (Green Park) [126],Welfare,Municipal Corp,Prime Constructions Pvt Ltd,W19,07-01-2024,12-11-2024,8538321,6534169,6243919,Completed
PRJ00127,Street Light Upgrade - Phase 2 (Gandhi Colony) [127],Infrastructure,Municipal Corp,Shree Projects & Sons,W02,10-12-2024,02-11-2025,1024767,737007,411629,Pending
PRJ00128,Market Shed Repair - Phase 3 (Sadar Bazaar) [128],Market,PWD,Metro Enterprises & Sons,W18,25-04-2024,16-11-2024,9084024,6625781,5925784,Running
PRJ00129,Storm Drain Repair - Phase 1 (Ambedkar Nagar) [129],Infrastructure,PWD,Green Developers LLP,W12,21-02-2025,31-08-2025,9495993,6265862,5443471,Completed
PRJ00130,Playground Development - Phase 3 (Malviya Nagar) [130],Sports,Municipal Corp,Om Engineers & Sons,W15,20-11-2024,27-04-2025,12050772,9852114,7111695,Running
PRJ00131,Street Light Upgrade - Phase 3 (Sadar Bazaar) [131],Infrastructure,Municipal Corp,Urban Infra Group,W18,09-10-2024,20-05-2025,7939243,4813857,3146285,Running
PRJ00132,Health Camp Program - Phase 2 (Gandhi Colony) [132],Healthcare,Municipal Corp,Green Works LLP,W02,09-07-2025,23-01-2026,3458235,3249802,2810665,Running
PRJ00133,Fogging Drive - Phase 3 (Vivek Vihar) [133],Healthcare,Municipal Corp,Green Engineers Pvt Ltd,W07,12-07-2024,13-03-2025,13642004,9608196,8018323,Running
PRJ00134,Primary Health Centre Renovation - Phase 2 (Indira Chowk) [134],Healthcare,Health Dept,Urban Builders LLP,W11,27-03-2025,13-11-2025,10578749,7011760,3737000,Pending
PRJ00135,Market Shed Repair - Phase 1 (Vivek Vihar) [135],Market,Municipal Corp,Metro Engineers Co.,W07,15-09-2024,30-03-2025,17055896,13734471,11164499,Running
PRJ00136,Skill Training Centre - Phase 3 (Saraswati Park) [136],Welfare,Municipal Corp,Urban Infra Group,W06,28-08-2025,24-03-2026,16023091,14511150,7883068,Pending
PRJ00137,Desilting Drive - Phase 3 (Anand Vihar) [137],Infrastructure,Municipal Corp,Sai Builders Group,W24,24-12-2025,23-12-2026,18887503,14112331,10390013,Running
PRJ00138,Ashram Drinking Water Facility - Phase 3 (Malviya Nagar) [138],Religious,Municipal Corp,Sai Builders & Sons,W15,23-01-2025,27-03-2025,4947184,3054406,1961407,Running
PRJ00139,Skill Training Centre - Phase 1 (Rajendra Nagar) [139],Welfare,Municipal Corp,Shree Enterprises & Sons,W10,05-06-2025,23-06-2026,12526491,8213744,4525103,Pending
PRJ00140,Community Sports Tournament - Phase 1 (Indira Chowk) [140],Sports,Sports Authority,Om Projects Group,W11,30-03-2024,22-08-2024,1014244,781106,721821,Completed
PRJ00141,Police Post Construction - Phase 2 (Tagore Garden) [141],Police,Police Dept,National Developers Group,W08,05-03-2024,04-05-2024,6738198,5889376,4177000,Running
PRJ00142,Open Gym Setup - Phase 2 (Jai Hind Puram) [142],Sports,Municipal Corp,Urban Engineers Group,W17,18-07-2025,06-07-2026,4848982,4782500,3121131,Running
PRJ00143,Toilet Block Construction - Phase 1 (Nehru Vihar) [143],Education,Education Dept,Metro Constructions Co.,W03,16-06-2025,27-08-2025,10544289,7886849,7388901,Completed
PRJ00144,Ambulance Service Setup - Phase 2 (Model Town) [144],Healthcare,Municipal Corp,Prime Enterprises Co.,W20,24-09-2025,13-02-2026,4666372,4018365,3752409,Completed
PRJ00145,CCTV Installation - Phase 3 (Seemapuri) [145],Police,Police Dept,Shree Enterprises Co.,W23,20-09-2025,22-06-2026,18242755,17004281,16175210,Completed
PRJ00146,Sports Lighting - Phase 2 (Tagore Garden) [146],Sports,Municipal Corp,Royal Projects & Sons,W08,25-01-2024,15-01-2025,7973722,7571865,4918804,Pending
PRJ00147,Desilting Drive - Phase 3 (Civil Lines) [147],Infrastructure,PWD,Shree Developers LLP,W21,20-05-2024,12-05-2025,8156391,7254258,4835735,Pending
PRJ00148,Vendor Zone Marking - Phase 2 (Azad Market) [148],Market,Municipal Corp,Shree Builders Pvt Ltd,W05,29-05-2024,07-07-2024,17867785,11196578,8246390,Running
PRJ00149,Desilting Drive - Phase 2 (Mayur Vihar) [149],Infrastructure,PWD,Metro Contracting Pvt Ltd,W25,11-03-2025,28-11-2025,1592629,1025535,788308,Running
PRJ00150,Bus Stop Shelter - Phase 2 (Gandhi Colony) [150],Infrastructure,Municipal Corp,Prime Contracting & Sons,W02,30-01-2024,19-01-2025,2247948,1581581,843927,Pending
PRJ00151,Health Camp Program - Phase 3 (Lajpat Enclave) [151],Healthcare,Municipal Corp,Sai Infra LLP,W04,29-08-2025,28-06-2026,1798078,1569317,1172933,Running
PRJ00152,Sports Lighting - Phase 1 (Vivek Vihar) [152],Sports,Sports Authority,Metro Projects LLP,W07,08-11-2025,21-11-2026,4109098,3625235,3610552,Completed
PRJ00153,Footpath Repair - Phase 1 (Indira Chowk) [153],Infrastructure,Municipal Corp,Royal Developers Group,W11,08-08-2025,10-06-2026,6036773,4003032,2733120,Running
PRJ00154,Clinic Upgrade - Phase 3 (Anand Vihar) [154],Healthcare,Health Dept,Sai Constructions LLP,W24,12-04-2025,06-06-2025,14195141,11659154,10895778,Completed
